osm_type,osm_id,key,value,name,lat,lon,addr:street,addr:housenumber,brand,operator,website,cuisine,opening_hours,description,barrio,comuna,ipcf_promedio_pesos,porc_hogares_bajo_lp,porc_poblacion_bajo_lp,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_desocupacion_varones,tasa_desocupacion_mujeres,tasa_subocupacion,porc_cuenta_propia,porc_asalariados_sin_jubilacion,poblacion,superficie_km2,densidad_hab_km2,porc_poblacion_ciudad,porc_superficie_ciudad,varones_cada_100_mujeres,edad_promedio_anios,porc_poblacion_0_14,porc_poblacion_15_64,porc_65mas,porc_nacidos_ciudad,tasa_fecundidad,tasa_mortalidad_infantil,tasa_natalidad,tasa_mortalidad,tasa_crecimiento_vegetativo,porc_mujeres_sin_hijos,porc_mujeres_1_2_hijos,porc_mujeres_mas_2_hijos,tamano_medio_hogar,porc_hogares_unipersonales,porc_poblacion_unida,porc_hogares_familiares,porc_hogares_no_familiares
node,1953847258,amenity,restaurant,La Guitarrita,-34.5712577,-58.4323145,,,,,,regional,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,1953847263,amenity,restaurant,La Azulada,-34.5720638,-58.4313475,,,,,,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,1979006476,amenity,restaurant,A 222,-34.6033711,-58.3705393,,,,,,,,,San Nicolas,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,1989733412,amenity,restaurant,Burgio,-34.5584007,-58.4595506,Avenida Cabildo,2477,,,,pizza,,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,1991443171,amenity,bar,El Beso Club,-34.6041407,-58.39399,Riobamba,416,,,http://elbeso.com.ar/,,,,Balvanera,3.0,685561.0,25.7,32.3,63.7,59.9,"5,9a","5,2b","6,8b","9,4a",19.8,26.9,"193,790",6.4,"30,280",6.3,3.1,90.1,39.2,17.4,65.8,16.8,50.5,1.1,8.2,7.7,9.7,-2.0,38.2,42.5,19.3,2.2,41.3,48.0,57.7,42.3
node,2010129673,amenity,pub,Plan B,-34.572887,-58.4896034,,,,,,,,,Villa Urquiza,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,"13,722",7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6
node,2011840989,amenity,cafe,Café Martínez,-34.6165922,-58.3817837,Lima,701,Café Martínez,,https://www.cafemartinez.com/,coffee_shop,Mo-Fr 06:30-22:00; Sa 08:30-20:30; Su 09:00-20:30,,Monserrat,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2011852969,amenity,restaurant,La Familia,-34.5659997,-58.4945784,,,,,,regional,,,Villa Urquiza,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,"13,722",7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6
node,2011863409,amenity,restaurant,Jasmin,-34.5704391,-58.4910834,,,,,,pizza,,,Villa Urquiza,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,"13,722",7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6
node,2011932509,amenity,pub,The Roxy,-34.5802545,-58.4510291,,,,,,,,,Colegiales,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2011933328,amenity,cafe,Bar Conde,-34.5777767,-58.4495217,,,,,,,,,Colegiales,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2011936588,amenity,restaurant,El Golfo,-34.5812795,-58.4501483,,,,,,,,,Chacarita,15.0,836539.0,"13,4a",15.6,66.3,62.5,"5,7a","6,0b","5,4b","7,9a",21.4,26.4,"182,551",14.3,"12,766",5.9,6.9,88.0,39.8,16.4,66.5,17.1,68.8,1.0,5.4,7.2,9.7,-2.5,36.1,51.3,12.6,2.1,42.6,46.1,55.9,44.1
node,2011936594,amenity,restaurant,Kentucky,-34.5807087,-58.4508424,,,,,,,,,Chacarita,15.0,836539.0,"13,4a",15.6,66.3,62.5,"5,7a","6,0b","5,4b","7,9a",21.4,26.4,"182,551",14.3,"12,766",5.9,6.9,88.0,39.8,16.4,66.5,17.1,68.8,1.0,5.4,7.2,9.7,-2.5,36.1,51.3,12.6,2.1,42.6,46.1,55.9,44.1
node,2017344206,amenity,restaurant,Kentucky,-34.5812262,-58.4220651,Avenida Santa Fe,4202,,,,pizza,"Th-Su 06:30-02:00, Mo-We 06:30-01:00",,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,2020723432,amenity,restaurant,El Viejo Tucho,-34.5550168,-58.4843614,,,,,,,,,Saavedra,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,"13,722",7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6
node,2020723435,amenity,restaurant,La Farola,-34.5547256,-58.4861909,Avenida Doctor Ricardo Balbín,3991,,,,,Mo-Sa 06:30-24:00; Su 08:00-24:00,,Saavedra,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,"13,722",7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6
node,2025928692,amenity,restaurant,El Mesón de Guadalupe,-34.5959091,-58.4959407,Avenida Francisco Beiró,3019,,,,,,,Agronomia,15.0,836539.0,"13,4a",15.6,66.3,62.5,"5,7a","6,0b","5,4b","7,9a",21.4,26.4,"182,551",14.3,"12,766",5.9,6.9,88.0,39.8,16.4,66.5,17.1,68.8,1.0,5.4,7.2,9.7,-2.5,36.1,51.3,12.6,2.1,42.6,46.1,55.9,44.1
node,2038426438,amenity,cafe,Bar Británico,-34.6252644,-58.3709659,Brasil,399,,,,,,,San Telmo,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2038426439,amenity,cafe,El Hipopótamo,-34.6252776,-58.3712379,Brasil,401,,,,,,,San Telmo,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2052117948,amenity,cinema,"Belgrano Multiplex - Salas 4, 5 y 6",-34.5602821,-58.4568655,Vuelta de Obligado,2238,,,http://www.cinesmultiplex.com.ar,,,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2052119841,amenity,cinema,Belgrano Multiplex,-34.5605432,-58.4562868,Vuelta de Obligado,2199,,,https://www.multiplex.com.ar/complejos/multiplex-belgrano/,,,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2067469261,amenity,cafe,Santillo,-34.5712944,-58.4425686,Avenida Cabildo,548,,,http://santillorestaurante.com/,italian,,,Colegiales,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2072689954,amenity,cafe,Starbucks,-34.5932017,-58.3760604,Avenida Maipú,1270,Starbucks,,https://www.starbucks.com.ar/,coffee_shop,Mo-Fr 07:00-20:30; Sa 08:00-20:30; Su 09:00-20:00,,Retiro,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2072693143,amenity,restaurant,Il Barista,-34.606665,-58.375142,,,,,,,,,San Nicolas,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2074844644,amenity,cafe,Tienda de Café,-34.6032494,-58.3764764,,,,,,,,,San Nicolas,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2075053216,amenity,cafe,Tienda de Café,-34.6086284,-58.377574,,,,,,,,,Monserrat,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2075058208,amenity,restaurant,Harmony Bar & Restaurante,-34.6089746,-58.3775584,,,,,,,,,Monserrat,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2075062352,amenity,cafe,Import,-34.6091157,-58.3801586,Avenida de Mayo,970,,,,coffee_shop,,,Monserrat,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2075594194,amenity,bar,Todo Mundo,-34.6206269,-58.372189,Don Anselmo Aieta,1095,,,https://www.todomundosantelmo.com.ar/,,,,San Telmo,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2075595299,amenity,bar,Patagonia,-34.6204195,-58.3722558,,,,,,,,,San Telmo,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2075595513,amenity,cafe,Bar Dorrego,-34.620613,-58.371309,Defensa,1098,,,,,,,San Telmo,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2075595605,amenity,cafe,Starbucks,-34.6207313,-58.3713217,Defensa,1102,Starbucks,,https://www.starbucks.com.ar/,coffee_shop,"Mo-Fr 07:00-21:00; Sa,Su 08:00-21:00",,San Telmo,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2085711857,amenity,restaurant,Mino,-34.6255462,-58.4159245,Avenida San Juan,,,,,pizza,,,Boedo,5.0,859444.0,"12,7a",13.7,68.1,64.4,"5,5a","4,5b","6,3b","5,6a",20.1,"16,7a","187,991",6.7,"28,058",6.1,3.3,85.8,40.3,17.2,64.7,18.1,57.7,0.9,4.2,6.2,9.8,-3.6,42.6,44.4,13.0,2.1,43.4,47.5,56.4,43.6
node,2085730095,amenity,cafe,Starbucks,-34.6079344,-58.3748359,Florida,1,Starbucks,,https://www.starbucks.com.ar/,coffee_shop,"Mo-Fr 07:00-21:00; Sa,Su 09:00-20:00",,San Nicolas,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2086715081,amenity,cafe,Petit Bon Bon,-34.5948006,-58.4136773,,,,,,,,,Recoleta,2.0,1046451.0,17.0,15.7,64.5,61.8,"4,2b", ---,"5,6b","6,5a",19.6,25.5,"149,345",6.3,"23,706",4.8,3.1,80.5,42.5,11.4,67.5,21.1,46.0,1.3,4.2,9.8,10.5,-0.7,50.4,37.0,12.6,1.8,54.2,44.9,45.6,54.4
node,2086715082,amenity,theatre,Teatro del Ángel,-34.595245,-58.4147536,Mario Bravo,1239,,,,,,,Recoleta,2.0,1046451.0,17.0,15.7,64.5,61.8,"4,2b", ---,"5,6b","6,5a",19.6,25.5,"149,345",6.3,"23,706",4.8,3.1,80.5,42.5,11.4,67.5,21.1,46.0,1.3,4.2,9.8,10.5,-0.7,50.4,37.0,12.6,1.8,54.2,44.9,45.6,54.4
node,2090405875,amenity,restaurant,Palermo Vecchio,-34.5939826,-58.4180325,Honduras,3895,,,,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,2092298114,amenity,cafe,Tienda de Café,-34.5603555,-58.4564669,,,,,https://www.tiendadecafe.com.ar/,,09:30-20:00; Tu off,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2093501894,amenity,restaurant,Ya-Mi Food,-34.5563743,-58.4517105,Arribeños,2288,,,,chinese,,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2094166779,amenity,restaurant,Almacén de Pizzas,-34.5507318,-58.4531414,Avenida Del Libertador,6700,,,https://www.almacendepizzas.com,pizza,,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2102238787,amenity,restaurant,Nobiru,-34.5565081,-58.4500549,Mendoza,1627,,,https://www.nobiru.com.ar/,japanese,"Tu-Su 12:00-16:00,18:00-24:00",,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2104323883,amenity,cafe,Havanna,-34.5600319,-58.4529829,Avenida Juramento,2002,Havanna,,https://www.havanna.com.ar,coffee_shop,08:00-20:00,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2104923020,amenity,restaurant,El Puntal,-34.5416554,-58.4696515,,,,,,,,,Nuñez,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2108083487,amenity,restaurant,Todo Tartas,-34.5922676,-58.4130661,General Lucio Norberto Mansilla,3410,,,,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,2111523234,amenity,restaurant,La Farola de Saavedra,-34.5430272,-58.472411,,,,,,,"Su-Th 07:00-01:00, Fr,Sa 07:00-03:00",,Nuñez,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2115076831,amenity,cafe,La Panadería,-34.5793967,-58.4246819,Avenida Santa Fe,4502,,,,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,2116533504,amenity,restaurant,Gusto,-34.5560007,-58.4514631,Olazábal,1679,,,,peruvian,"Tu-Fr 12:00-16:00, 20:00-00:00; Sa 12:00-16:30, 20:00-00:00; Su 12:00-17:00",,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2123191048,amenity,bar,Olazabar,-34.5554173,-58.4500368,,,,,,,,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2124217974,amenity,restaurant,Sr. Telmo,-34.6166017,-58.3715793,San Lorenzo,399,,,,pizza,,,San Telmo,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,2132560879,amenity,restaurant,La Continental,-34.5471272,-58.4700078,Avenida Cabildo,3990,,,https://www.lacontinental.com/,,07:00-13:00,,Saavedra,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,"13,722",7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6
node,2132671071,amenity,cafe,Trama,-34.5606025,-58.456534,Mendoza,2304,,,,,,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2132673167,amenity,cafe,Rox,-34.5458208,-58.4708917,,,,,,,,,Saavedra,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,"13,722",7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6
node,2132673558,amenity,restaurant,Larreta,-34.5607024,-58.457063,Mendoza,2369,,,,,,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2135015182,amenity,restaurant,Kyodo,-34.5820968,-58.4044983,Avenida Ortiz de Ocampo,2670,,,http://www.facebook.com/pages/Kyodo-Japanese-Restaurante/121681754508845,japanese,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,2135016618,amenity,cafe,Faricci,-34.5856719,-58.4129553,,,,,,ice_cream,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,2135031236,amenity,cafe,Piacere,-34.5853594,-58.4109932,Jerónimo Salguero,2296,,,http://www.piacere.com.ar/,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,2135036572,amenity,restaurant,Bakano Pizza,-34.5805528,-58.4084339,Jerónimo Salguero,2695,,,http://www.bakano.com,pizza;argentinian;breakfast;coffee_shop;italian_pizza;pasta;sandwich,Mo-Su 08:00-02:00; Fr-Sa 8:00-3:30,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,2135080660,amenity,cafe,Tienda de café,-34.5834747,-58.4135386,,,,,,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,2136831103,amenity,restaurant,Watson's,-34.5620549,-58.4559821,Vuelta de Obligado,2070,,,,,Mo-Sa 08:00-01:00,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
node,2138129823,amenity,restaurant,Mauro.it,-34.5552013,-58.4539443,,,,,,italian,,,Belgrano,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,"15,782",7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7
